Name,Package URL,Github,ecosystem
chalk,https://www.npmjs.com/package/chalk,https://github.com/chalk/chalk,npm
debug,https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,npm
fs-extra,https://www.npmjs.com/package/fs-extra,https://github.com/jprichardson/node-fs-extra,npm
glob,https://www.npmjs.com/package/glob,https://github.com/isaacs/node-glob,npm
axios,https://www.npmjs.com/package/axios,https://github.com/axios/axios,npm
uuid,https://www.npmjs.com/package/uuid,https://github.com/uuidjs/uuid,npm
semver,https://www.npmjs.com/package/semver,https://github.com/npm/node-semver,npm
async,https://www.npmjs.com/package/async,https://github.com/caolan/async,npm
rimraf,https://www.npmjs.com/package/rimraf,https://github.com/isaacs/rimraf,npm
express,https://www.npmjs.com/package/express,https://github.com/expressjs/express,npm
typescript,https://www.npmjs.com/package/typescript,https://github.com/Microsoft/TypeScript,npm
react,https://www.npmjs.com/package/react,https://github.com/facebook/react,npm
dotenv,https://www.npmjs.com/package/dotenv,https://github.com/motdotla/dotenv,npm
inquirer,https://www.npmjs.com/package/inquirer,https://github.com/SBoudrias/Inquirer.js,npm
eslint,https://www.npmjs.com/package/eslint,https://github.com/eslint/eslint,npm
body-parser,https://www.npmjs.com/package/body-parser,https://github.com/expressjs/body-parser,npm
node-fetch,https://www.npmjs.com/package/node-fetch,https://github.com/node-fetch/node-fetch,npm
js-yaml,https://www.npmjs.com/package/js-yaml,https://github.com/nodeca/js-yaml,npm
commander,https://www.npmjs.com/package/commander,https://github.com/tj/commander.js,npm
qs,https://www.npmjs.com/package/qs,https://github.com/ljharb/qs,npm
react-dom,https://www.npmjs.com/package/react-dom,https://github.com/facebook/react,npm
lru-cache,https://www.npmjs.com/package/lru-cache,https://github.com/isaacs/node-lru-cache,npm
minimatch,https://www.npmjs.com/package/minimatch,https://github.com/isaacs/minimatch,npm
lodash,https://www.npmjs.com/package/lodash,https://github.com/lodash/lodash,npm
tslib,https://www.npmjs.com/package/tslib,https://github.com/Microsoft/tslib,npm
ajv,https://www.npmjs.com/package/ajv,https://github.com/ajv-validator/ajv,npm
underscore,https://www.npmjs.com/package/underscore,https://github.com/jashkenas/underscore,npm
@types/node,https://www.npmjs.com/package/%40types%2Fnode,https://github.com/DefinitelyTyped/DefinitelyTyped,npm
jsonwebtoken,https://www.npmjs.com/package/jsonwebtoken,https://github.com/auth0/node-jsonwebtoken,npm
yargs,https://www.npmjs.com/package/yargs,https://github.com/yargs/yargs,npm
winston,https://www.npmjs.com/package/winston,https://github.com/winstonjs/winston,npm
ms,https://www.npmjs.com/package/ms,https://github.com/vercel/ms,npm
rxjs,https://www.npmjs.com/package/rxjs,https://github.com/reactivex/rxjs,npm
execa,https://www.npmjs.com/package/execa,https://github.com/sindresorhus/execa,npm
form-data,https://www.npmjs.com/package/form-data,https://github.com/form-data/form-data,npm
mime,https://www.npmjs.com/package/mime,https://github.com/broofa/mime,npm
prop-types,https://www.npmjs.com/package/prop-types,https://github.com/facebook/prop-types,npm
ejs,https://www.npmjs.com/package/ejs,https://github.com/mde/ejs,npm
iconv-lite,https://www.npmjs.com/package/iconv-lite,https://github.com/ashtuchkin/iconv-lite,npm
colors,https://www.npmjs.com/package/colors,https://github.com/Marak/colors.js,npm
open,https://www.npmjs.com/package/open,https://github.com/sindresorhus/open,npm
moment,https://www.npmjs.com/package/moment,https://github.com/moment/moment,npm
jquery,https://www.npmjs.com/package/jquery,https://github.com/jquery/jquery,npm
mkdirp,https://www.npmjs.com/package/mkdirp,https://github.com/isaacs/node-mkdirp,npm
minimist,https://www.npmjs.com/package/minimist,https://github.com/minimistjs/minimist,npm
path-to-regexp,https://www.npmjs.com/package/path-to-regexp,https://github.com/pillarjs/path-to-regexp,npm
readable-stream,https://www.npmjs.com/package/readable-stream,https://github.com/nodejs/readable-stream,npm
cross-spawn,https://www.npmjs.com/package/cross-spawn,https://github.com/moxystudio/node-cross-spawn,npm
xml2js,https://www.npmjs.com/package/xml2js,https://github.com/Leonidas-from-XIV/node-xml2js,npm
ora,https://www.npmjs.com/package/ora,https://github.com/sindresorhus/ora,npm
resolve,https://www.npmjs.com/package/resolve,https://github.com/browserify/resolve,npm
webpack,https://www.npmjs.com/package/webpack,https://github.com/webpack/webpack,npm
prettier,https://www.npmjs.com/package/prettier,https://github.com/prettier/prettier,npm
bluebird,https://www.npmjs.com/package/bluebird,https://github.com/petkaantonov/bluebird,npm
object-assign,https://www.npmjs.com/package/object-assign,https://github.com/sindresorhus/object-assign,npm
jest,https://www.npmjs.com/package/jest,https://github.com/jestjs/jest,npm
jsdom,https://www.npmjs.com/package/jsdom,https://github.com/jsdom/jsdom,npm
classnames,https://www.npmjs.com/package/classnames,https://github.com/JedWatson/classnames,npm
cheerio,https://www.npmjs.com/package/cheerio,https://github.com/cheeriojs/cheerio,npm
ws,https://www.npmjs.com/package/ws,https://github.com/websockets/ws,npm
shelljs,https://www.npmjs.com/package/shelljs,https://github.com/shelljs/shelljs,npm
eslint-plugin-import,https://www.npmjs.com/package/eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,npm
uglify-js,https://www.npmjs.com/package/uglify-js,https://github.com/mishoo/UglifyJS,npm
postcss,https://www.npmjs.com/package/postcss,https://github.com/postcss/postcss,npm
eslint-plugin-react,https://www.npmjs.com/package/eslint-plugin-react,https://github.com/jsx-eslint/eslint-plugin-react,npm
cookie,https://www.npmjs.com/package/cookie,https://github.com/jshttp/cookie,npm
buffer,https://www.npmjs.com/package/buffer,https://github.com/feross/buffer,npm
cors,https://www.npmjs.com/package/cors,https://github.com/expressjs/cors,npm
camelcase,https://www.npmjs.com/package/camelcase,https://github.com/sindresorhus/camelcase,npm
chai,https://www.npmjs.com/package/chai,https://github.com/chaijs/chai,npm
joi,https://www.npmjs.com/package/joi,https://github.com/hapijs/joi,npm
co,https://www.npmjs.com/package/co,https://github.com/tj/co,npm
strip-ansi,https://www.npmjs.com/package/strip-ansi,https://github.com/chalk/strip-ansi,npm
validator,https://www.npmjs.com/package/validator,https://github.com/validatorjs/validator.js,npm
supports-color,https://www.npmjs.com/package/supports-color,https://github.com/chalk/supports-color,npm
graceful-fs,https://www.npmjs.com/package/graceful-fs,https://github.com/isaacs/node-graceful-fs,npm
babel-core,https://www.npmjs.com/package/babel-core,https://github.com/babel/babel,npm
rollup,https://www.npmjs.com/package/rollup,https://github.com/rollup/rollup,npm
marked,https://www.npmjs.com/package/marked,https://github.com/markedjs/marked,npm
ramda,https://www.npmjs.com/package/ramda,https://github.com/ramda/ramda,npm
